RequestID,Tracking Number,CarrierName
50024,92748902711361553018011680,UPS Mail Innovations
50088,92748902711361553018011741,UPS Mail Innovations
50020,92748902711361553018011703,UPS Mail Innovations
50009,92748902711361553018011635,UPS Mail Innovations
50015,92748902711361553018011673,UPS Mail Innovations
50033,92748902711361553018011710,UPS Mail Innovations
50006,92748902711361553018011697,UPS Mail Innovations
50092,92748902711361553018011772,UPS Mail Innovations
50014,92748902711361553018011659,UPS Mail Innovations
50018,92748902711361553018011666,UPS Mail Innovations
50013,92748902711361553018011642,UPS Mail Innovations
49995,92748902711361553018011604,UPS Mail Innovations
50089,92748902711361553018011758,UPS Mail Innovations
50091,92748902711361553018011765,UPS Mail Innovations
50086,92748902711361553018011734,UPS Mail Innovations
50001,92748902711361553018011611,UPS Mail Innovations
50042,92748902711361553018011727,UPS Mail Innovations
50002,92748902711361553018011628,UPS Mail Innovations
49994,92748902711361553018011598,UPS Mail Innovations
