RequestID,Tracking Number,CarrierName
47102,1Z9F72W00332616783,UPS
47149,1Z9F72W00332617175,UPS
47160,1Z9F72W00332616943,UPS
47161,1Z9F72W00332616756,UPS
47187,1Z9F72W00332616765,UPS
47188,1Z9F72W00332616952,UPS
47188,1Z9F72W00332616952,UPS
47190,1Z9F72W00332617184,UPS
47255,1Z9F72W00332616774,UPS
47261,1Z9F72W00332616961,UPS
47275,1Z9F72W00332616970,UPS
47298,1Z9F72W00332617193,UPS
47357,1Z9F72W00332616710,UPS
47359,1Z9F72W00332616792,UPS
47366,1Z9F72W00332616809,UPS
47376,1Z9F72W00332616729,UPS
47406,1Z9F72W00332616989,UPS
47423,1Z9F72W00332616998,UPS
47463,1Z9F72W00332616818,UPS
47471,1Z9F72W00332616827,UPS
47479,1Z9F72W00332616738,UPS
47507,1Z9F72W00332617157,UPS
47512,1Z9F72W00332616836,UPS
47521,1Z9F72W00332617004,UPS
47532,1Z9F72W00332616845,UPS
47538,1Z9F72W00332617013,UPS
47553,1Z9F72W00332617166,UPS
47585,1Z9F72W00332616854,UPS
47593,1Z9F72W00332616863,UPS
47642,1Z9F72W00332617022,UPS
47653,1Z9F72W00332616872,UPS
47664,1Z9F72W00332616881,UPS
47669,1Z9F72W00332617031,UPS
47718,1Z9F72W00332616890,UPS
47767,1Z9F72W00332617040,UPS
47777,1Z9F72W00332616907,UPS
47784,1Z9F72W00332616916,UPS
47793,1Z9F72W00332617059,UPS
47823,1Z9F72W00332617200,UPS
47829,1Z9F72W00332616925,UPS
47886,1Z9F72W00332616934,UPS
47896,1Z9F72W00332617068,UPS
47906,1Z9F72W00332617077,UPS
48992,1Z9F72W00332616747,UPS
48995,1Z9F72W00332616694,UPS
48996,1Z9F72W00332616701,UPS
48998,1Z9F72W00332617086,UPS
49007,1Z9F72W00332617095,UPS
49014,1Z9F72W00332617111,UPS
49017,1Z9F72W00332617102,UPS
49023,1Z9F72W00332617120,UPS
49028,1Z9F72W00332617139,UPS
49033,1Z9F72W00332617148,UPS
49041,1Z9F72W00332617219,UPS
