RequestID,Tracking Number,CarrierName
45362,1Z9F72W00332526442,UPS
45786,1Z9F72W00332527487,UPS
45832,1Z9F72W00332527496,UPS
45865,1Z9F72W00332527503,UPS
45875,1Z9F72W00332527512,UPS
46246,1Z9F72W00332527521,UPS
46332,1Z9F72W00332526451,UPS
46335,1Z9F72W00332527530,UPS
46423,1Z9F72W00332527549,UPS
46433,1Z9F72W00332527558,UPS
46434,1Z9F72W00332527674,UPS
46440,1Z9F72W00332527683,UPS
46552,1Z9F72W00332527736,UPS
46562,1Z9F72W00332527745,UPS
46568,1Z9F72W00332527754,UPS
46621,1Z9F72W00332527567,UPS
46622,1Z9F72W00332527576,UPS
46622,1Z9F72W00332527576,UPS
46623,1Z9F72W00332527585,UPS
47027,1Z9F72W00332526504,UPS
47029,1Z9F72W00332526488,UPS
47031,1Z9F72W00332526497,UPS
47032,1Z9F72W00332526460,UPS
47033,1Z9F72W00332527594,UPS
47034,1Z9F72W00332526513,UPS
47035,1Z9F72W00332527692,UPS
47036,1Z9F72W00332527763,UPS
47083,1Z9F72W00332526522,UPS
47084,1Z9F72W00332527601,UPS
47085,1Z9F72W00332526479,UPS
47086,1Z9F72W00332527772,UPS
47087,1Z9F72W00332527610,UPS
47107,1Z9F72W00332527709,UPS
47129,1Z9F72W00332527781,UPS
47170,1Z9F72W00332527718,UPS
47180,1Z9F72W00332527790,UPS
47211,1Z9F72W00332527629,UPS
47213,1Z9F72W00332527807,UPS
47217,1Z9F72W00332527816,UPS
47305,1Z9F72W00332527638,UPS
47408,1Z9F72W00332527647,UPS
47487,1Z9F72W00332527727,UPS
47494,1Z9F72W00332527825,UPS
47866,1Z9F72W00332527656,UPS
47915,1Z9F72W00332527665,UPS
48137,1Z9F72W00332527450,UPS
48138,1Z9F72W00332526273,UPS
48141,1Z9F72W00332526282,UPS
48144,1Z9F72W00332526424,UPS
48147,1Z9F72W00332526291,UPS
48148,1Z9F72W00332526308,UPS
48150,1Z9F72W00332527469,UPS
48151,1Z9F72W00332526317,UPS
48153,1Z9F72W00332526326,UPS
48156,1Z9F72W00332526335,UPS
48157,1Z9F72W00332526344,UPS
48158,1Z9F72W00332526353,UPS
48161,1Z9F72W00332527478,UPS
48163,1Z9F72W00332526362,UPS
48167,1Z9F72W00332526371,UPS
48168,1Z9F72W00332526380,UPS
48171,1Z9F72W00332526399,UPS
48200,1Z9F72W00332526433,UPS
48205,1Z9F72W00332526406,UPS
48211,1Z9F72W00332526415,UPS
48235,1Z9F72W00332525738,UPS
48236,1Z9F72W00332526871,UPS
48237,1Z9F72W00332525747,UPS
48238,1Z9F72W00332526880,UPS
48239,1Z9F72W00332525756,UPS
48241,1Z9F72W00332525765,UPS
48242,1Z9F72W00332525774,UPS
48243,1Z9F72W00332525783,UPS
48244,1Z9F72W00332525792,UPS
48245,1Z9F72W00332525809,UPS
48246,1Z9F72W00332525818,UPS
48247,1Z9F72W00332525827,UPS
48248,1Z9F72W00332525836,UPS
48249,1Z9F72W00332525845,UPS
48250,1Z9F72W00332525854,UPS
48251,1Z9F72W00332525863,UPS
48252,1Z9F72W00332526899,UPS
48253,1Z9F72W00332526906,UPS
48254,1Z9F72W00332526915,UPS
48255,1Z9F72W00332526924,UPS
48256,1Z9F72W00332526933,UPS
48257,1Z9F72W00332526942,UPS
48258,1Z9F72W00332525872,UPS
48259,1Z9F72W00332525881,UPS
48260,1Z9F72W00332526951,UPS
48261,1Z9F72W00332526960,UPS
48262,1Z9F72W00332526979,UPS
48263,1Z9F72W00332526988,UPS
48264,1Z9F72W00332526997,UPS
48265,1Z9F72W00332527003,UPS
48266,1Z9F72W00332527012,UPS
48267,1Z9F72W00332527021,UPS
48268,1Z9F72W00332525890,UPS
48269,1Z9F72W00332525907,UPS
48270,1Z9F72W00332525916,UPS
48271,1Z9F72W00332525925,UPS
48272,1Z9F72W00332525934,UPS
